name,tag,count,rarity,price
Zoodiac Thoroughblade,MP17-EN184,1,Ultra Rare,12.38
Zoodiac Thoroughblade,RATE-EN017,2,Ultra Rare,13.37
Zoodiac Whiptail,OP05-EN002,1,Ultimate Rare,66.31
Zoodiac Whiptail,RATE-EN016,2,Super Rare,2.57
Zoodiac Ramram,RATE-EN018,1,Common,2.58
Zoodiac Ramram,OP05-EN008,2,Super Rare,10.42
Zoodiac Ratpier,RATE-EN014,1,Super Rare,1.28
Fire Formation - Tenki,THSF-EN057,3,Super Rare,3.88
Zoodiac Barrage,RATE-EN059,1,Secret Rare,9.74
Zoodiac Combo,RATE-EN071,1,Common,2.77
Ash Blossom & Joyous Spring,MACR-EN036,3,Secret Rare,56.94
Infinite Impermanence,FLOD-EN077,3,Secret Rare,87.51
Pot of Desires,TDIL-EN066,3,Secret Rare,30.91
Triple Tactics Talent,ROTD-EN062,2,Secret Rare,103.05
Book of Moon,YS18-EN027,2,Common,1.21
Forbidden Chalice,WIRA-EN053,2,Common,2.1
Pot of Avarice,EEN-EN037,1,Super Rare,6.71
Harpie's Feather Duster,WC4-E003,1,Prismatic Secret Rare,138.73
Monster Reborn,LART-EN001,1,Ultra Rare,96.8
Living Fossil,SDSH-EN030,1,Common,1.37
Solemn Judgment,BLRR-EN100,2,Ultra Rare,4.99
Solemn Judgment,MRD-EN127,1,Ultra Rare,18.4
Solemn Strike,BLRR-EN102,1,Ultra Rare,3.13
Solemn Strike,OP04-EN003,2,Ultimate Rare,148.93
Infinitrack Fortress Megaclops,INCH-EN011,1,Secret Rare,5.56
PSY-Framelord Omega,HSRD-EN035,1,Secret Rare,13.47
Elder Entity N'tss,CT14-EN009,1,Super Rare,5.32
Divine Arsenal AA-ZEUS - Sky Thunder,PHRA-EN045,2,Secret Rare,50.43
Drill Driver Vespenato,ROTD-EN047,1,Common,0.9
Zoodiac Tigermortar,RATE-EN052,2,Ultra Rare,5.92
Zoodiac Hammerkong,MACR-EN047,2,Common,1.93
Zoodiac Boarbow,RATE-EN054,2,Rare,4.08
Zoodiac Chakanine,MACR-EN048,2,Ultra Rare,11.05
Zoodiac Drident,RATE-EN053,1,Secret Rare,4.79
